Stem	Buckwalter	Part-of-speech
أَنتَ	>anta	Personal pronoun
أَنتُمْ	>antumo	Personal pronoun
كَ	ka	Personal pronoun
كُمْ	kumo	Personal pronoun
هُوَ	huwa	Personal pronoun
هُ	hu	Personal pronoun
هِىَ	hiYa	Personal pronoun
هَا	haA	Personal pronoun
هُمْ	humo	Personal pronoun
ىَ	Ya	Personal pronoun
نَحْنُ	naHonu	Personal pronoun
نَا	naA	Personal pronoun
عٓسٓقٓ	E^s^q^	Quranic initials
حمٓ	Hm^	Quranic initials
الٓر	Al^r	Quranic initials
الٓمٓ	Al^m^	Quranic initials
نٓ	n^	Quranic initials
قٓ	q^	Quranic initials
صٓ	S^	Quranic initials
يسٓ	ys^	Quranic initials
طه	Th	Quranic initials
طسٓمٓ	Ts^m^	Quranic initials
يَاسِينَ	yaAsiyna	Quranic initials
طس	Ts	Quranic initials
مَعَ	maEa	Preposition
إِذَا	<i*aA	Surprise particle
